"The Devil's Lair","Riaan Hendricks","South Africa","2013","82 min","https://www.idfa.nl/en/film/8b909ccc-8822-46e6-a9f1-a05fbdf1a1d3/the-devils-lair?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Devil","Jean-Gabriel Périot","France","2012","7 min","https://www.idfa.nl/en/film/9b925674-0aaa-4b71-b798-fff1e575ca8d/the-devil?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Diário de Naná","Paschoal Samora","Brazil","2006","60 min","https://www.idfa.nl/en/film/dfd8b6de-7f13-467b-84ef-bdad1f1905a6/diário-de-naná?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Diary of Hunger","Mireia Pujol","Spain","2014","15 min","https://www.idfa.nl/en/film/70cffafc-ac62-444f-9498-22274f2c519d/diary-of-hunger?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"A Different Kind of Gun","Peter Jordan","United States","2007","15 min","https://www.idfa.nl/en/film/44abd4be-36e5-43f6-96a9-79fe90bd333a/a-different-kind-of-gun?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dinner with the President: A Nation's Journey","Sabiha Sumar, Sachithanandam Sathananthan","Pakistan","2007","58 min","https://www.idfa.nl/en/film/91e62cb7-2a66-4ed0-b595-a6cd03b85e63/dinner-with-the-president-a-nations-journey?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Divine Pig","Hans Dortmans","Netherlands","2010","55 min","https://www.idfa.nl/en/film/5ba7066f-b084-4907-8b28-7180cdd6a155/divine-pig?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Divorce Albanian Style","Adela Peeva","Bulgaria","2007","66 min","https://www.idfa.nl/en/film/18ab5490-b567-453e-9465-a54d7a17affd/divorce-albanian-style?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Divorce Iranian Style","Kim Longinotto, Ziba Mir-Hosseini","England","1998","80 min","https://www.idfa.nl/en/film/c47e11c0-a08b-4873-89a5-8ece0d80bef6/divorce-iranian-style?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dolls - A Woman from Damascus","Diana El Jeiroudi","Syria, Denmark","2008","57 min","https://www.idfa.nl/en/film/8b853519-a541-4dd4-93bc-88357c83cca6/dolls-a-woman-from-damascus?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Doubled Up","Samantha Moore","England","2004","7 min","https://www.idfa.nl/en/film/63536b92-70e1-4724-b9b1-a85c837ca5e9/doubled-up?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Drawing Room","Jan Rothuizen, Sara Kolster","Netherlands","2015","7 min","https://www.idfa.nl/en/film/e37468b6-923a-4f97-92aa-d6530c4f736d/drawing-room?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Driftless: Stories from Iowa","Danny Wilcox Frazier, Brian Storm","United States","2009","31 min","https://www.idfa.nl/en/film/e967c8c0-0dd2-4964-b997-8f59405b2245/driftless-stories-from-iowa?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Dulce","Angello Faccini, Guille Isa","Colombia","2018","10 min","https://www.idfa.nl/en/film/8844dd0e-ebbc-4997-b7eb-c4b894cb7e81/dulce?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Earn a Living","Yuval Orr","France, Germany, Netherlands, United States","2018","90 min","https://www.idfa.nl/en/film/66a24480-d161-4266-a830-f389ed1cb14d/earn-a-living?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Education, Education","Weijun Chen","China, South Africa","2012","58 min","https://www.idfa.nl/en/film/fb5b5f63-b1b0-4118-a212-160ac1184e60/education-education?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Empire Interactive","Kel O'Neill, Eline Jongsma","United States, Netherlands","2014","80 min","https://www.idfa.nl/en/film/5d5f0be4-5545-4990-8ad8-4fd306a6d6f5/empire-interactive?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Eritrea Stars","John Appel","Netherlands","2015","55 min","https://www.idfa.nl/en/film/77a17a19-0a09-4dc1-9523-9163199ca655/eritrea-stars?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Estamira","Marcos Prado","Brazil","2004","115 min","https://www.idfa.nl/en/film/cd20a605-18f9-46c7-8532-bdeb2624444b/estamira?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Euromaidan. Rough Cut","Roman Bondarchuk","Ukraine","2014","60 min","https://www.idfa.nl/en/film/86f110b2-3f4d-4cd8-9914-6568fb0ed173/euromaidan-rough-cut?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Even a Bird Needs a Nest","Vincent Trintignant-Corneau, Christine Chansou","France","2012","57 min","https://www.idfa.nl/en/film/8d63de70-082e-4a12-8d20-bef671290e7d/even-a-bird-needs-a-nest?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Exhausting a Crowd","Kyle McDonald","United States","2015","720 min","https://www.idfa.nl/en/film/35167690-7923-4c6a-b077-57fb82f8524a/exhausting-a-crowd?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Facility","Seth Freed Wessler","United States","2021","27 min","https://www.idfa.nl/en/film/c1c5bebd-5595-4db2-b17a-e46c1dfcaafb/the-facility?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Far Away from Far Away","Bruce Alcock, Jeremy Mendes","Canada","2019","30 min","https://www.idfa.nl/en/film/3a9f6d7b-eeb1-4e6a-b54d-9c4ca17eb946/far-away-from-far-away?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Farewell","Alejandro Alonso Estrella","Cuba","2014","25 min","https://www.idfa.nl/en/film/3b8093fe-5cc1-4bb3-aec2-35ea4ba5a660/the-farewell?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The First Kid to Learn English from Mexico","Peter Jordan","United States","2008","20 min","https://www.idfa.nl/en/film/dd08960d-1515-46e9-8d3b-2ec50d08f7d8/the-first-kid-to-learn-english-from-mexico?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Flesh","Edouard Salier","France","2005","10 min","https://www.idfa.nl/en/film/cbd6a342-b138-47d9-8c0d-195736c7a4d5/flesh?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"La flor de la vida","Adriana Loeff, Claudia Abend","Uruguay","2017","84 min","https://www.idfa.nl/en/film/434146f3-58ab-4d92-8e20-41a66e437a17/la-flor-de-la-vida?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Flower Punk","Alison Klayman","Japan, United States","2019","28 min","https://www.idfa.nl/en/film/2ffa1881-02bf-4bcb-85bf-543bdfdc8689/flower-punk?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Flying Anne","Catherine van Campen","Netherlands","2010","21 min","https://www.idfa.nl/en/film/1aac8e88-8fee-4ce1-8ee9-e417e848d5d9/flying-anne?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Focus Forward: Meet Mr.Toilet","Jessica Yu","United States","2012","3 min","https://www.idfa.nl/en/film/6fbd869b-6c82-47f9-8b27-e0f49fe97913/focus-forward-meet-mr-toilet?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"The Fog of Srebrenica","Samir Mehanovic","Scotland, Bosnia-Herzegovina","2015","60 min","https://www.idfa.nl/en/film/dd448f2c-99b0-473e-aef8-cf47643e0c5d/the-fog-of-srebrenica?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"For Home Viewing","Mikhail Zheleznikov","Russia","2009","29 min","https://www.idfa.nl/en/film/1ea3fc97-ef55-4aba-8d85-57ee5056008d/for-home-viewing?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Fordson","Rashid Ghazi","United States","2011","92 min","https://www.idfa.nl/en/film/78ce33ec-8093-4431-86ee-075c9733ca53/fordson?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Forest on Location","Persijn Broersen, Margit Lukacs","Netherlands","2018","10 min","https://www.idfa.nl/en/film/8aa351e2-1885-4b66-b760-e141114279a1/forest-on-location?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
"Four Horsemen","Ross Ashcroft","England","2011","97 min","https://www.idfa.nl/en/film/124c7ecb-f847-43f6-9953-008fb540ed1c/four-horsemen?filters[tvPrice]=Free&collectionType=idfa","2023-01-01"
